length,frequency
0,0
1,83
2,133
3,77
4,58
5,39
6,27
7,21
8,16
9,12
10,7
11,7
12,5
13,8
14,5
15,5
16,4
17,4
18,4
19,0
20,1
21,1
22,1
23,1
24,1
25,1
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,1
35,0
36,1
37,0
38,0
39,0
40,1
41,1
42,1
43,0
44,0
45,1
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,1
