ngram,frequency
customer service,201
bank account,136
send money,86
phone number,77
get money,77
transfer money,67
debit card,67
cant get,67
wont let,65
cash app,60
use app,59
use venmo,55
money account,51
venmo account,48
cant even,46
instant transfer,45
even though,43
worst app,43
dont use,41
customer support,40
doesnt work,39
money venmo,39
credit card,39
froze account,38
app ever,31
money bank,31
money app,28
every time,27
try later,26
money back,26
could give,25
dont know,25
sent money,25
horrible customer,25
cant send,24
account venmo,23
add bank,23
freeze account,23
horrible app,23
account frozen,22
account cant,22
cant use,22
waste time,21
sending money,21
trying get,21
account reason,20
used venmo,20
business days,20
never use,20
using venmo,19
using app,19
ive ever,19
new update,19
error message,19
3 days,19
money sent,19
never got,19
access money,18
4 days,18
use money,17
app sucks,17
still cant,17
cant transfer,17
venmo balance,17
venmo app,17
hold money,17
get back,17
cant add,16
several times,16
wont allow,16
terrible app,16
terrible customer,16
dont care,16
app doesnt,15
keep getting,15
venmo sucks,15
receive money,15
use cash,15
checking account,15
even use,15
ive tried,15
use paypal,14
want money,14
money cant,14
cant access,14
get help,14
close account,14
im trying,14
dont even,14
wouldnt let,14
multiple times,14
doesnt even,13
0 stars,13
account got,13
tried send,13
wrong person,13
wont even,13
dont want,13
2 days,13
app cant,13
5 days,13
app freezes,13
verify identity,13
venmo card,13
app ive,13
trying send,12
1 star,12
new phone,12
transfer bank,12
money dont,12
worst experience,12
give 0,12
app wont,12
download app,12
holding money,12
good luck,12
worst money,12
account even,12
take money,12
worst customer,12
still havent,12
ive used,12
keeps freezing,11
get paid,11
even let,11
half time,11
zero stars,11
make payment,11
would give,11
bank info,11
keep money,11
issue payment,11
payment try,11
bank accounts,11
didnt work,11
put money,11
let add,11
account money,11
stars would,11
would never,11
let transfer,11
one time,11
social media,11
social security,11
please fix,10
personal information,10
transfer funds,10
first time,10
someone else,10
days ago,10
pay someone,10
app worst,10
dont like,10
use another,10
ill never,10
wish could,10
credit cards,10
payment method,10
money im,10
let instant,10
account without,10
accept phone,10
app keeps,10
bank card,9
ever use,9
3 times,9
linked bank,9
difficult use,9
one star,9
owned paypal,9
days get,9
even get,9
friends list,9
verify bank,9
money sitting,9
account app,9
give option,9
app paypal,9
another app,9
help get,9
venmo paypal,9
money someone,9
venmo wont,9
connect bank,9
let use,9
longer use,9
account suspended,9
account never,9
account wont,9
pay people,9
money never,9
suspicious activity,9
im going,9
need money,9
new ui,9
cant find,9
days still,9
whatever reason,9
venmo get,8
enter phone,8
2 weeks,8
never works,8
frozen account,8
service help,8
time try,8
account hacked,8
locked account,8
add money,8
get funds,8
venmo cant,8
pull money,8
couldnt get,8
able get,8
try get,8
experience ever,8
way get,8
get venmo,8
ever used,8
release money,8
got money,8
money use,8
money card,8
user friendly,8
people use,8
make payments,8
set account,8
tried use,8
something went,8
went wrong,8
getting error,8
app horrible,8
cant anything,8
delete account,8
send payment,8
said would,8
latest update,8
money people,8
instant transfers,8
pay anyone,8
getting money,8
support team,8
link bank,8
debit cards,8
dont waste,8
never received,7
account try,7
got frozen,7
app terrible,7
poor customer,7
took money,7
go back,7
payment app,7
want use,7
10 days,7
used love,7
seems like,7
money transfer,7
app much,7
give app,7
called customer,7
get payment,7
app like,7
app trash,7
old phone,7
stole money,7
able send,7
venmo help,7
closed account,7
keeps telling,7
give zero,7
got new,7
wont give,7
still waiting,7
10 dollars,7
cannot get,7
able transfer,7
unfreeze account,7
could rate,7
two weeks,7
worst company,7
app service,7
ive trying,7
give money,7
money still,7
keeps saying,7
cant make,7
fix issue,7
run around,7
still money,7
wont accept,7
get rid,7
account wouldnt,7
cant talk,7
dont understand,7
venmo could,7
every single,7
bank transfer,7
transferred money,7
tell everyone,7
ive sent,7
sent email,7
venmo bank,7
get ahold,7
account since,7
cant see,7
account sent,7
new account,7
steal money,7
new card,7
verify account,7
sent wrong,6
app absolutely,6
account yet,6
like venmo,6
freezing account,6
contacted support,6
paypal account,6
account linked,6
paypal owns,6
service terrible,6
doesnt show,6
days later,6
money froze,6
lost money,6
venmo debit,6
way pay,6
weeks trying,6
photo id,6
use credit,6
needed money,6
really bad,6
venmo years,6
easy use,6
would allow,6
way better,6
wait 3,6
much easier,6
use dont,6
cant sign,6
venmo customer,6
app use,6
horrible cant,6
want send,6
dont ever,6
account still,6
service ever,6
app literally,6
use card,6
money worst,6
account pay,6
received money,6
email address,6
still wont,6
got account,6
hacked account,6
way long,6
days trying,6
im getting,6
cant help,6
venmo wants,6
1 3,6
second time,6
account would,6
looks like,6
class action,6
try transfer,6
used app,6
money transferred,6
phone numbers,6
app working,6
whats point,6
business account,6
trying make,6
money way,6
get card,6
use zelle,6
app venmo,6
money could,6
create account,6
account im,6
hard time,6
takes forever,6
worst ever,6
update app,6
use cashapp,6
7 days,6
tried multiple,6
let sign,6
havent received,6
money put,6
error messages,6
make sure,6
funds venmo,6
paypal much,6
dont work,6
money one,6
small business,6
app way,6
reset password,6
service horrible,6
back money,6
later still,6
app card,6
taking money,6
try pay,6
horrible service,6
transfer fee,6
3 different,6
give back,6
money even,6
wouldnt accept,6
never ever,6
work cant,6
hate venmo,6
account dont,6
3 business,6
absolute worst,5
didnt get,5
app customer,5
stay away,5
financial transactions,5
garbage app,5
allow transfer,5
awful customer,5
trying transfer,5
everything else,5
6 days,5
5 stars,5
account doesnt,5
ive waiting,5
privacy settings,5
settings private,5
get bank,5
peoples money,5
deleting account,5
still dont,5
chime account,5
love venmo,5
new layout,5
easy way,5
money friends,5
venmo pay,5
amount money,5
tried make,5
add new,5
